income,loan_amount,credit_history,age,balance,default
58825.22,221107.0,6,24,123529.71,1
57194.7,181949.63,8,23,173994.4,0
58306.08,181442.54,8,21,182024.78,0
39750.3,108126.81,6,28,182429.91,0
57212.6,250479.66,5,40,63532.56,1
67695.25,217930.28,8,10,185368.89,1
36863.66,102142.2,6,28,174660.65,0
62711.55,230698.48,10,47,122749.02,1
78445.6,299563.76,8,24,118859.79,1
37809.79,147921.67,2,24,112282.65,0
56519.2,249787.48,5,38,61239.46,1
66825.8,195023.29,8,0,219039.9,1
63638.34,255436.34,7,34,95677.13,1
44020.53,150079.63,5,28,143541.87,0
51391.14,143916.44,8,23,197780.07,0
36383.84,96448.04,6,29,180107.96,0
62219.17,259359.47,6,34,81363.11,1
42935.46,152165.75,4,25,135128.92,0
60101.25,231388.37,7,31,112600.76,1
64902.43,224823.52,6,7,159685.28,0
6490.74,48849.77,-3,36,75420.93,0
61761.74,225105.33,5,16,137821.53,0
43229.38,142767.4,5,28,150230.77,0
57183.65,257611.17,7,60,44767.51,1
75837.74,308266.61,8,35,85982.29,1
58674.98,243680.43,5,32,85203.78,1
59782.64,241125.7,6,31,96000.49,1
61345.8,266406.52,6,40,63421.19,1
12749.14,58721.81,0,42,94710.37,0
75105.06,282085.6,8,25,125430.15,1
82583.1,286471.6,9,10,168155.78,1
54651.15,164997.41,8,23,184730.39,0
58231.86,199595.06,7,24,152742.26,0
63818.81,225409.12,5,7,152494.85,0
43339.49,148237.98,6,36,139593.72,0
51739.99,172764.72,6,25,155470.39,0
61840.12,270540.34,7,51,55552.43,1
60416.42,268030.06,6,49,52074.63,1
58308.73,180453.82,8,22,182963.24,0
37733.93,124092.08,5,30,145859.1,0
53283.65,173398.59,7,24,163707.3,0
77211.92,251807.8,9,8,190319.42,1
36300.41,127744.08,4,34,130224.53,0
63137.17,218268.98,10,42,146078.06,1
46342.6,166205.3,4,24,134243.96,0
37714.43,139005.49,4,33,121626.55,0
45703.9,150895.67,6,27,152497.53,0
60910.13,223511.4,4,8,138332.1,0
58549.41,204185.62,8,33,144367.12,1
44690.92,151407.65,5,28,145621.32,0
64618.44,228114.8,7,19,148741.79,1
35974.78,110128.64,7,42,152201.76,0
66766.54,241714.48,12,51,128165.45,1
32253.12,134815.21,0,24,99929.96,0
56345.1,207013.23,4,11,135467.18,0
37997.96,144126.76,3,27,118077.48,0
23983.53,99773.58,1,32,101657.4,0
58311.94,200931.71,6,17,153762.54,1
32644.14,131097.57,1,22,108603.92,0
67372.4,281614.24,6,34,77651.93,1
69212.74,262904.73,7,26,119693.64,1
47403.34,153820.19,6,27,158149.15,0
73904.18,252631.99,8,13,167847.52,1
55110.05,273573.29,4,49,12515.39,1
59767.4,258071.38,6,43,65699.32,1
58613.57,202898.73,7,23,150522.89,0
40491.06,149014.48,4,28,124893.54,0
58942.02,222632.51,7,30,119631.59,1
49721.33,144865.2,8,25,186080.82,0
55263.63,231589.44,6,42,80199.27,1
59547.43,273198.53,5,46,40154.49,1
38859.29,143768.08,2,22,125463.57,0
53945.17,200468.45,3,12,131201.51,0
63854.91,204336.51,8,13,182727.47,1
73664.67,315142.53,7,37,62196.32,1
63290.14,245337.93,10,51,102515.04,1
46575.03,157888.87,6,28,146629.78,0
47716.63,167718.66,6,29,138150.9,0
67681.77,184132.23,11,15,234821.82,0
55282.49,193883.97,6,23,144758.39,1
49690.76,177643.61,5,22,137053.93,0
64180.06,284491.49,6,43,51266.15,1
37088.49,137750.88,3,28,122135.01,0
50832.94,191954.58,3,15,124535.76,0
56515.95,254299.72,5,45,51818.07,1
31326.73,94439.97,4,32,152730.69,0
49658.66,133147.06,8,23,204095.05,0
47866.4,174745.99,4,23,130469.89,0
56975.44,213852.84,5,22,124468.16,1
60790.42,235151.72,9,50,103639.3,1
51310.08,196274.14,5,27,116416.28,0
53564.74,199128.82,5,26,125446.41,1
51568.54,196861.46,3,14,121849.96,0
26370.02,66932.6,4,33,165162.33,0
57865.09,199733.37,7,23,150846.5,0
59042.47,235459.45,7,39,97387.18,1
39638.22,159220.73,1,17,108598.62,0
36382.23,108100.19,5,30,162299.81,0
66092.33,203454.44,8,7,199364.68,1
62044.83,245750.38,6,31,102326.81,1
40567.88,154119.73,4,30,116476.59,0
59405.3,279911.01,4,42,30546.96,1
41982.49,125533.97,6,27,169416.06,0
46614.13,174830.98,3,22,123530.78,0
59242.6,242353.06,6,38,88310.87,1
54784.44,208370.43,4,18,121666.08,0
64556.45,241127.95,7,23,126925.86,1
34659.46,122921.67,4,32,128800.92,0
37297.88,140089.29,3,27,119919.92,0
55167.3,264380.38,5,54,25209.92,1
63078.02,228972.69,7,27,135438.99,1
70084.03,248641.92,8,18,149677.97,1
52779.82,183873.73,6,25,144489.9,0
57399.38,205596.5,4,10,144021.05,0
44350.01,175335.32,1,12,113357.39,0
76167.03,294629.82,8,28,111378.96,0
46777.25,160660.39,6,34,141401.12,0
58166.99,223147.84,7,37,111725.18,1
57992.01,235233.61,6,36,92863.08,1
55878.58,230593.43,6,37,86894.76,1
67581.94,219139.65,8,10,182945.81,1
66315.41,261796.18,9,47,96564.24,1
60236.91,258343.54,9,61,61240.24,1
58041.49,283959.86,5,54,11977.99,1
67709.19,222589.39,9,21,174425.13,0
71204.9,313171.82,7,40,49740.83,1
47127.17,165889.38,5,25,139018.04,0
30937.99,135205.5,0,24,91495.54,0
56391.26,250075.68,4,38,59957.14,1
56172.65,235757.53,6,42,79102.3,1
24771.43,101585.68,2,37,101864.05,0
40575.8,148646.08,3,23,127485.68,0
62185.36,245271.95,8,45,98600.92,0
43101.1,145429.94,6,34,142897.99,0
59318.4,200240.3,9,37,153168.7,1
35309.77,130383.24,3,31,121520.0,0
13706.04,62176.69,0,37,97202.92,0
38635.6,131220.38,4,29,140443.45,0
59826.84,258752.1,6,45,64342.66,1
69806.35,238105.43,8,17,164509.51,1
63385.85,226085.32,10,42,135640.58,1
61035.72,243530.27,6,32,99487.41,1
49316.22,182665.76,4,19,128421.44,0
61867.19,203986.24,6,11,172391.17,1
55352.46,264446.17,4,49,28007.33,1
61300.84,196122.71,8,21,177060.75,0
59502.36,242742.7,6,34,90956.2,1
43081.65,162941.53,2,18,122371.22,0
60292.66,254827.38,7,48,71598.53,1
72035.49,248452.28,8,17,161913.43,1
42803.08,135197.87,6,28,159333.5,0
58604.16,273162.14,7,58,30244.34,0
44866.49,138908.01,6,28,165737.9,0
62765.9,218165.76,10,38,145878.23,1
54929.02,299088.2,1,43,-24986.69,1
63895.73,169956.97,12,28,229317.66,1
56878.32,216962.57,8,44,110885.21,1
60564.35,252988.09,7,45,77421.41,1
66444.59,237874.28,7,18,144846.87,1
55626.14,149850.96,9,21,214290.38,0
52235.1,139729.74,9,22,209393.92,0
65188.22,218674.87,7,12,168908.25,1
41918.29,104390.29,7,26,201632.64,0
49208.74,165195.8,6,26,151674.67,0
72756.13,278655.19,8,27,116281.52,1
59711.1,229359.3,7,37,111167.35,1
66648.14,225444.92,8,20,164194.42,0
58933.32,221811.0,7,33,119561.95,1
51807.66,144416.02,8,22,199826.7,0
65586.82,258422.16,7,30,103965.04,1
55572.88,168016.12,8,23,185717.35,0
66428.95,223214.61,7,14,168581.3,1
58794.21,311418.55,5,64,-29085.42,1
30972.69,130229.85,0,20,100684.35,0
35053.16,90717.55,6,29,181128.81,0
62305.96,261101.42,9,59,69718.83,1
57770.0,245756.1,6,42,73183.44,1
61839.62,199023.92,8,22,175588.45,0
67797.19,250772.27,7,23,131259.52,1
49355.7,217098.44,4,39,68752.17,1
65482.8,227346.85,8,21,154079.19,0
62402.3,241750.83,10,52,102547.5,1
40187.27,150217.75,3,26,121777.66,0
74941.81,286522.02,8,23,118569.76,1
22387.6,82384.71,3,47,113237.93,0
73461.21,234856.65,8,4,195563.86,1
41404.79,160404.58,2,22,114988.53,0
41265.86,147368.46,4,25,132912.11,0
47825.79,146064.78,7,25,173008.29,0
33431.78,138774.12,0,21,101940.49,0
59026.36,220549.28,8,40,119468.73,1
41536.74,141941.26,5,31,140252.6,0
40637.4,121501.67,6,29,167155.07,0
31155.78,127377.07,0,19,106443.78,0
57960.62,257178.0,6,45,55783.1,1
58453.06,209451.25,8,36,134525.01,1
61142.03,228582.2,9,43,118576.07,1
71837.31,257656.65,7,15,147476.18,1
30338.98,59163.0,6,30,201367.83,0
18085.69,80601.81,0,36,95148.92,0
65550.18,230922.27,8,22,148707.72,1
62350.71,249041.58,7,39,95933.77,1
58246.4,251637.93,5,40,67778.89,1
52524.12,154599.66,8,24,188056.49,0
35095.88,131935.61,2,27,119752.13,0
61826.26,229471.49,9,45,120514.35,1
46036.91,136189.68,7,26,177330.57,0
16488.76,79189.48,-1,34,88541.76,0
25041.22,76032.87,6,50,137057.59,0
57160.94,241573.34,7,51,72479.08,1
55024.16,216553.95,2,7,115001.49,0
56380.82,183891.11,7,23,166162.75,0
56795.69,278674.63,4,51,13974.74,1
46135.24,122071.57,8,25,199891.48,0
55295.36,149300.18,9,21,213093.09,0
54209.37,168068.32,8,23,177652.86,0
64739.14,230665.42,7,19,145337.28,1
12256.54,55561.09,0,43,96478.74,0
61999.75,156357.54,11,18,242893.32,0
46137.82,160563.19,5,28,139915.55,0
61485.22,235378.01,6,27,116177.84,1
55525.26,244051.97,5,41,62821.84,1
69344.76,267096.91,7,28,113384.52,1
43563.21,151781.62,5,28,138470.3,0
32897.58,114692.86,4,36,129434.43,0
75026.11,254801.97,9,17,169534.34,0
68697.54,230632.32,8,11,171448.22,1
40763.04,123671.38,6,29,164495.74,0
24726.08,94211.29,2,35,113302.8,0
25990.38,112479.14,0,28,95668.79,0
65124.94,194560.28,10,18,202810.81,0
66246.41,235179.72,6,11,150422.38,0
60747.27,230240.02,8,39,115233.91,1
71884.47,248214.59,7,11,163617.86,0
47364.1,244131.85,3,55,10031.85,1
36052.67,141278.56,1,20,113491.21,0
62321.7,265351.45,6,36,72006.46,1
58912.33,279456.8,7,61,21467.44,1
43234.97,147529.08,5,26,143681.8,0
49130.55,135598.08,8,25,196712.27,0
35013.32,138147.05,2,25,110252.11,0
47347.92,164100.91,5,25,142931.6,0
54847.9,213494.28,6,32,108830.95,1
64799.45,257582.86,9,46,94526.83,1
46160.65,131015.12,7,26,185898.5,0
61352.4,137807.98,12,17,267552.58,0
76324.82,248346.64,9,6,190954.27,1
59624.19,282505.53,5,49,25297.51,1
51901.14,252279.28,3,43,28418.13,1
54197.05,211998.33,5,26,109747.78,1
47067.74,238427.04,4,55,16780.99,1
60180.2,233068.25,9,48,103984.96,1
14499.87,60498.66,1,46,100979.88,0
56581.59,223856.47,6,32,103230.95,1
57213.53,247729.98,5,38,68526.76,1
59931.18,218728.66,7,25,133214.44,1
56744.43,245918.48,6,45,65920.38,1
55737.89,221271.55,5,30,103208.31,1
44500.26,122429.63,7,26,189422.29,0
39691.24,136647.51,6,38,135149.37,0
38494.8,139137.91,4,29,127679.33,0
50053.46,181589.94,4,19,134402.03,0
38613.75,120121.32,5,29,157428.51,0
76461.68,221376.69,10,-1,235517.59,1
64442.16,218801.57,7,14,163669.85,1
55822.31,252350.4,5,44,51076.01,1
76482.73,327106.72,8,39,59820.62,1
51784.65,119189.5,10,21,238697.01,0
72866.81,256240.92,8,18,154213.71,0
41718.25,124693.39,6,27,169042.47,0
63730.3,213837.78,7,16,166273.06,1
52302.25,126404.3,10,22,230264.9,0
55493.52,192456.67,6,24,147676.32,0
36941.31,132581.63,4,32,127493.79,0
58553.42,231919.73,7,41,98951.32,1
43500.68,174145.76,1,17,108414.43,0
55941.87,207657.32,5,24,127109.74,1
5086.24,45598.05,-2,45,69087.85,0
60116.62,247376.69,8,49,81620.77,1
58889.42,225788.39,6,31,114331.13,1
68647.83,215926.54,10,19,190596.06,0
51502.74,201292.8,2,13,115138.89,0
62736.08,278562.13,6,45,50883.98,1
43933.22,127426.1,7,26,178248.22,0
57846.18,189355.84,7,23,166664.56,0
51668.41,167648.8,7,25,162681.11,0
59088.74,245278.65,6,35,84339.09,1
14604.75,71832.88,0,39,86681.24,0
46496.2,185032.05,4,29,104600.55,0
67309.72,286103.33,7,38,68844.45,1
43100.04,160291.61,4,28,122633.71,1
46016.86,162168.11,5,27,137180.11,0
63461.04,247289.27,6,27,109662.41,1
57944.87,248246.07,7,47,68596.3,1
30669.38,107829.21,4,42,124769.21,0
58600.99,193349.7,7,17,167286.48,1
15941.06,81074.8,-1,35,82198.26,0
57791.99,200445.2,6,21,149994.17,0
47092.4,179926.12,2,15,121022.94,0
60188.14,236953.47,7,36,102691.74,1
9677.91,43905.69,1,49,96592.88,0
53967.9,190635.15,5,17,144076.14,0
46876.51,137544.87,7,26,180070.76,0
65727.24,243452.25,4,2,138135.22,0
64301.18,219647.08,12,49,148158.32,1
57832.93,259223.68,5,45,51798.87,1
43496.41,160607.07,4,24,126126.65,0
32406.71,117708.19,3,33,123226.34,0
43318.63,170384.02,2,18,112504.14,0
63850.8,225362.83,7,22,147120.92,0
59682.12,184162.81,8,21,185826.1,0
47156.74,102693.75,9,23,235942.04,0
60147.21,281321.71,6,51,29381.04,1
48486.81,146364.01,7,26,176196.8,0
60820.43,240646.89,8,44,97782.68,0
35832.5,141280.22,1,22,111665.21,0
30731.3,127296.17,1,28,100762.17,0
38319.99,84619.93,7,26,210520.11,0
66311.49,198625.74,10,18,203516.85,0
62358.34,264715.01,10,63,63033.66,1
30359.45,65319.03,6,30,192149.86,0
60138.83,190953.89,8,21,178194.52,0
25450.11,100344.38,1,33,109187.97,0
52930.85,190585.36,5,21,136582.56,0
66852.08,231238.55,8,20,156409.58,0
64295.43,213594.01,7,12,171614.07,1
50741.63,178846.08,5,23,141147.4,0
56610.77,205230.69,6,24,134639.02,0
52229.92,196879.98,2,9,127565.7,0
56521.56,239030.64,7,46,74378.69,0
56896.77,158871.89,9,22,207769.66,0
18827.71,76956.31,1,41,103026.79,0
55727.63,177576.6,6,15,174963.93,1
46225.11,135377.28,7,26,179745.41,0
67672.17,199548.92,8,2,216414.47,1
50908.23,191536.49,3,13,126644.8,0
31887.14,146056.53,-2,13,84841.65,0
